ts, pressure, pressureSetPoint, chamberState, valve1, valve2, valve3, valve4, boardTemp, chamberTemp, thermTemp, thermSetPoint, LEDBrightness, LEDDutyCycle
2017-06-29T17:55:15.173Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:16.179Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:17.182Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:18.188Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:19.191Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:20.196Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:21.200Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:22.201Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:23.203Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:24.213Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:25.220Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:26.229Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:27.232Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:28.240Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:29.247Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:30.304Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:31.313Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:32.317Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:33.322Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:34.331Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:35.340Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:36.345Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:37.349Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:38.358Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:39.366Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:40.374Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:41.380Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:42.386Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:43.395Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:44.402Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:45.410Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:46.421Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:47.424Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:48.431Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:49.439Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:50.447Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:51.453Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:52.457Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:53.464Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:54.473Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:55.477Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:56.480Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:57.490Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:58.497Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:55:59.504Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:00.507Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:01.516Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:02.529Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:03.535Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:04.538Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:05.544Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:06.560Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:07.567Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:08.573Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:09.574Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:10.581Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:11.594Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:12.601Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:13.612Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:14.607Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:15.607Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:16.608Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:17.608Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:18.613Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:19.618Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:20.627Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:21.656Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:22.647Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:23.648Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:24.654Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:25.660Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:26.666Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:27.670Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:28.686Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:29.698Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:30.697Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:31.695Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:32.703Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:33.718Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:34.710Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:35.711Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:36.722Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:37.724Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:38.732Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:39.733Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:40.734Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:41.739Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:42.740Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:43.744Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:44.753Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:45.762Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:46.768Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:47.769Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:48.773Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:49.776Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:50.779Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:51.786Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:52.794Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:53.800Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:54.804Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:55.809Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:56.812Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:57.817Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:58.823Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:56:59.870Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:57:00.837Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:57:01.844Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:57:02.852Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
2017-06-29T17:57:03.860Z,0.87,-100,run,0,0,0,255,30.94,24.67,-1.7,-1,1144.34,0
